지점,지점명,지역,관리관서
90,속초,강원특별자치도,강원지방기상청
93,북춘천,강원특별자치도,춘천기상대
95,철원,강원특별자치도,강원지방기상청
98,동두천,경기도,수도권기상청
99,파주,경기도,수도권기상청
100,대관령,경기도,강원지방기상청
101,춘천,강원특별자치도,춘천기상대
102,백령도,경기도,수도권기상청
104,북강릉,강원특별자치도,강원지방기상청
105,강릉,강원특별자치도,강원지방기상청
106,동해,강원특별자치도,강원지방기상청
108,서울,특별시,수도권기상청
112,인천,특별시,수도권기상청
114,원주,강원특별자치도,강원지방기상청
115,울릉도,경상북도,대구지방기상청
119,수원,경기도,수도권기상청
121,영월,강원특별자치도,강원지방기상청
127,충주,충청북도,청주기상지청
129,서산,충청남도,홍성기상대
130,울진,경상북도,안동기상대
131,청주,충청북도,청주기상지청
133,대전,특별시,대전지방기상청
135,추풍령,충청북도,청주기상지청
136,안동,경상남도,안동기상대
137,상주,경상북도,대구지방기상청
138,포항,경상북도,대구지방기상청
140,군산,전라북도,전주기상지청
143,대구,특별시,대구지방기상청
146,전주,전라북도,전주기상지청
152,울산,특별시,울산기상대
155,창원,경상남도,창원기상대
156,광주,특별시,광주지방기상청
159,부산,특별시,부산지방기상청
162,통영,경상남도,부산지방기상청
165,목포,전라남도,목포기상대
168,여수,전라남도,광주지방기상청
169,흑산도,전라남도,광주지방기상청
170,완도,전라남도,목포기상대
172,고창,전라북도,전주기상지청
174,순천,전라남도,광주지방기상청
177,홍성,충청남도,홍성기상대
184,제주,제주특별자치도,제주지방기상청
185,고산,제주특별자치도,제주지방기상청
188,성산,제주특별자치도,제주지방기상청
189,서귀포,제주특별자치도,제주지방기상청
192,진주,경상남도,창원기상대
201,강화,인천,인천기상대
202,양평,경기도,수도권기상청
203,이천,경기도,수도권기상청
211,인제,강원특별자치도,강원지방기상청
212,홍천,강원특별자치도,춘천기상대
216,태백,강원특별자치도,강원지방기상청
217,정선군,강원특별자치도,강원지방기상청
221,제천,충청북도,청주기상지청
226,보은,충청북도,청주기상지청
232,천안,충청남도,대전지방기상청
235,보령,충청남도,대전지방기상청
236,부여,충청남도,대전지방기상청
238,금산,충청남도,대전지방기상청
239,세종,특별시,대전지방기상청
243,부안,전라북도,전주기상지청
244,임실,전라북도,전주기상지청
245,정읍,전라북도,전주기상지청
247,남원,전라북도,전주기상지청
248,장수,전라북도,전주기상지청
251,고창군,전라북도,전주기상지청
252,영광군,전라남도,광주지방기상청
253,김해시,경상남도,부산지방기상청
254,순창군,전라북도,전주기상지청
255,북창원,경상남도,창원기상대
257,양산시,경상남도,울산기상대
258,보성군,전라남도,광주지방기상청
259,강진군,전라남도,목포기상대
260,장흥,전라남도,목포기상대
261,해남,전라남도,목포기상대
262,고흥,전라남도,광주지방기상청
263,의령군,경상남도,창원기상대
264,함양군,경상남도,창원기상대
266,광양시,전라남도,광주지방기상청
268,진도군,전라남도,목포기상대
271,봉화,경상북도,대구지방기상청
272,영주,경상북도,안동기상대
273,문경,경상북도,안동기상대
276,청송군,경상북도,대구지방기상청
277,영덕,경상북도,대구지방기상청
278,의성,경상북도,대구지방기상청
279,구미,경상북도,대구지방기상청
281,영천,경상북도,대구지방기상청
283,경주시,경상북도,대구지방기상청
284,거창,경상남도,울산기상대
285,합천,경상남도,울산기상대
288,밀양,경상남도,울산기상대
289,산청,경상남도,창원기상대
294,거제,경상남도,부산지방기상청
295,남해,경상남도,부산지방기상청